Rk,Wk,Winner,WPts,,Loser,LPts
495,9,Arkansas State,0,@,Louisiana,0
496,9,Boise State,0,@,Air Force,0
497,9,Boston College,0,@,(22) Wake Forest,0
498,9,Bowling Green,0,@,Central Michigan,0
499,9,(25) Brigham Young,0,@,Liberty,0
500,9,Central Florida,0,@,East Carolina,0
501,9,(23) Cincinnati,0,@,Southern Methodist,0
502,9,Colorado,0,@,Oregon State,0
503,9,Duke,0,@,(16) Miami (FL),0
504,9,Eastern Michigan,0,@,Ball State,0
505,9,Florida Atlantic,0,@,Texas-El Paso,0
506,9,Florida International,0,@,Charlotte,0
507,9,Fresno State,0,@,New Mexico,0
508,9,Georgia Southern,0,@,Old Dominion,0
509,9,Hawaii,0,@,Colorado State,0
510,9,(24) Houston,0,@,Navy,0
511,9,Indiana,0,@,Rutgers,0
512,9,Iowa,0,@,(2) Ohio State,0
513,9,Kansas,0,@,(10) Baylor,0
514,9,Kansas State,0,@,Texas Christian,0
515,9,Louisiana-Monroe,0,@,Army,0
516,9,Marshall,0,@,James Madison,0
517,9,Memphis,0,@,Tulane,0
518,9,Minnesota,0,@,Penn State,0
519,9,(21) Mississippi,0,@,Louisiana State,0
520,9,Mississippi State,0,@,(1) Alabama,0
521,9,Nevada-Las Vegas,0,@,(5) Notre Dame,0
522,9,North Texas,0,@,Texas-San Antonio,0
523,9,Northern Illinois,0,@,Ohio,0
524,9,Northwestern,0,@,Maryland,0
525,9,(17) Pittsburgh,0,@,Louisville,0
526,9,Purdue,0,@,(18) Wisconsin,0
527,9,Rice,0,@,Louisiana Tech,0
528,9,San Diego State,0,@,Nevada,0
529,9,San Jose State,0,@,New Mexico State,0
530,9,Southern Mississippi,0,@,Texas State,0
531,9,Syracuse,0,@,(4) Clemson,0
532,9,Tennessee-Martin,0,@,Tennessee,0
533,9,Texas,0,@,(12) Oklahoma State,0
534,9,(6) Texas A&M,0,@,South Carolina,0
535,9,Toledo,0,@,Buffalo,0
536,9,UCLA,0,@,(11) Oregon,0
537,9,Utah State,0,@,Wyoming,0
538,9,Vanderbilt,0,@,Missouri,0
539,9,Washington,0,@,California,0
540,9,West Virginia,0,@,Texas Tech,0
541,9,Western Michigan,0,@,Miami (OH),0
542,10,Louisiana,0,@,Southern Mississippi,0
543,10,(7) Utah,0,@,Washington State,0
544,10,Virginia Tech,0,@,(13) North Carolina State,0
545,10,East Carolina,0,@,(25) Brigham Young,0
546,10,Louisiana Tech,0,@,Florida International,0
547,10,Alabama-Birmingham,0,@,Florida Atlantic,0
548,10,Arizona State,0,@,Colorado,0
549,10,(19) Arkansas,0,@,Auburn,0
550,10,(10) Baylor,0,@,Texas Tech,0
551,10,Boston College,0,@,Connecticut,0
552,10,Charlotte,0,@,Rice,0
553,10,(23) Cincinnati,0,@,Central Florida,0
554,10,Coastal Carolina,0,@,Marshall,0
555,10,Colorado State,0,@,Boise State,0
556,10,(3) Georgia,0,N,Florida,0
557,10,Georgia Tech,0,@,Florida State,0
558,10,Illinois,0,@,Nebraska,0
559,10,(20) Kentucky,0,@,Tennessee,0
560,10,(16) Miami (FL),0,@,Virginia,0
561,10,Miami (OH),0,@,Akron,0
562,10,(15) Michigan State,0,@,(8) Michigan,0
563,10,Middle Tennessee State,0,@,Texas-El Paso,0
564,10,(21) Mississippi,0,@,(6) Texas A&M,0
565,10,Missouri,0,@,South Carolina,0
566,10,Nevada,0,@,San Jose State,0
567,10,New Mexico State,0,@,Massachusetts,0
568,10,North Texas,0,@,Western Kentucky,0
569,10,Northwestern,0,@,Iowa,0
570,10,(5) Notre Dame,0,@,Syracuse,0
571,10,(2) Ohio State,0,@,Penn State,0
572,10,(9) Oklahoma,0,@,Iowa State,0
573,10,(12) Oklahoma State,0,@,Kansas State,0
574,10,Old Dominion,0,@,Georgia State,0
575,10,(11) Oregon,0,@,California,0
576,10,(17) Pittsburgh,0,@,North Carolina,0
577,10,Robert Morris,0,@,Appalachian State,0
578,10,Rutgers,0,@,Minnesota,0
579,10,San Diego State,0,@,Fresno State,0
580,10,South Alabama,0,@,Arkansas State,0
581,10,South Florida,0,@,(24) Houston,0
582,10,(14) Southern California,0,@,Arizona,0
583,10,Southern Methodist,0,@,Tulsa,0
584,10,Stanford,0,@,UCLA,0
585,10,Temple,0,@,Navy,0
586,10,Texas Christian,0,@,West Virginia,0
587,10,Toledo,0,@,Eastern Michigan,0
588,10,(22) Wake Forest,0,@,Louisville,0
589,10,Wyoming,0,@,Hawaii,0
590,11,Ball State,0,@,Kent State,0
591,11,Buffalo,0,@,Ohio,0
592,11,Central Michigan,0,@,Northern Illinois,0
593,11,Western Michigan,0,@,Bowling Green,0
594,11,Appalachian State,0,@,Coastal Carolina,0
595,11,Texas-El Paso,0,@,Rice,0
